-1.000000e+00 -8.184250e-02 +6.135118e+00 +2.531332e-01 +1.219757e-01 -8.184250e-02 -8.184250e-02 +6.204937e-02
-9.900000e-01 +2.568021e-02 +6.021129e+00 +2.482559e-01 +1.232571e-01 +2.568021e-02 +2.568021e-02 +8.031500e-02
-9.800000e-01 +1.167389e-01 +5.906511e+00 +2.433999e-01 +1.243867e-01 +1.167389e-01 +1.167389e-01 +1.001372e-01
-9.700000e-01 +1.921926e-01 +5.791358e+00 +2.385663e-01 +1.253639e-01 +1.921926e-01 +1.921926e-01 +1.210950e-01
-9.600000e-01 +2.530267e-01 +5.675761e+00 +2.337563e-01 +1.261884e-01 +2.530267e-01 +2.530267e-01 +1.427225e-01
-9.500000e-01 +3.003186e-01 +5.559809e+00 +2.289709e-01 +1.268602e-01 +3.003186e-01 +3.003186e-01 +1.645199e-01
-9.400000e-01 +3.352083e-01 +5.443592e+00 +2.242112e-01 +1.273798e-01 +3.352083e-01 +3.352083e-01 +1.859664e-01
-9.300000e-01 +3.588715e-01 +5.327195e+00 +2.194783e-01 +1.277483e-01 +3.588715e-01 +3.588715e-01 +2.065337e-01
-9.200000e-01 +3.724977e-01 +5.210702e+00 +2.147732e-01 +1.279669e-01 +3.724977e-01 +3.724977e-01 +2.257007e-01
-9.100000e-01 +3.772710e-01 +5.094198e+00 +2.100970e-01 +1.280372e-01 +3.772710e-01 +3.772710e-01 +2.429670e-01
-9.000000e-01 +3.743531e-01 +4.977762e+00 +2.054506e-01 +1.279615e-01 +3.743531e-01 +3.743531e-01 +2.578673e-01
-8.900000e-01 +3.648702e-01 +4.861474e+00 +2.008352e-01 +1.277422e-01 +3.648702e-01 +3.648702e-01 +2.699843e-01
-8.800000e-01 +3.499018e-01 +4.745413e+00 +1.962515e-01 +1.273820e-01 +3.499018e-01 +3.499018e-01 +2.789614e-01
-8.700000e-01 +3.304714e-01 +4.629654e+00 +1.917007e-01 +1.268842e-01 +3.304714e-01 +3.304714e-01 +2.845125e-01
-8.600000e-01 +3.075396e-01 +4.514271e+00 +1.871835e-01 +1.262521e-01 +3.075396e-01 +3.075396e-01 +2.864317e-01
-8.500000e-01 +2.819988e-01 +4.399337e+00 +1.827010e-01 +1.254897e-01 +2.819988e-01 +2.819988e-01 +2.845996e-01
-8.400000e-01 +2.546695e-01 +4.284923e+00 +1.782540e-01 +1.246010e-01 +2.546695e-01 +2.546695e-01 +2.789875e-01
